CAND_NAME,STATE,CONTRIBUTION_AMT,Frequency
"Williamson, Marianne",MN,10,217
"Williamson, Marianne",MN,20,1001
"Williamson, Marianne",MN,50,180
"Williamson, Marianne",MN,100,10
"Williamson, Marianne",MN,200,20
"Williamson, Marianne",MN,500,2
"Williamson, Marianne",MN,1000,0
"Williamson, Marianne",MN,1500,0
"Williamson, Marianne",MN,2000,1
"Williamson, Marianne",MN,2799,2
"Williamson, Marianne",MO,0,2029
"Williamson, Marianne",MO,10,187
"Williamson, Marianne",MO,20,907
"Williamson, Marianne",MO,50,142
"Williamson, Marianne",MO,100,11
"Williamson, Marianne",MO,200,11
"Williamson, Marianne",MO,500,1
"Williamson, Marianne",MO,1000,1
"Williamson, Marianne",MO,1500,0
"Williamson, Marianne",MO,2000,0
"Williamson, Marianne",MO,2799,0
"Williamson, Marianne",MS,0,344
"Williamson, Marianne",MS,10,32
"Williamson, Marianne",MS,20,122
"Williamson, Marianne",MS,50,17
"Williamson, Marianne",MS,100,1
"Williamson, Marianne",MS,200,3
"Williamson, Marianne",MS,500,0
"Williamson, Marianne",MS,1000,0
"Williamson, Marianne",MS,1500,0
"Williamson, Marianne",MS,2000,0
"Williamson, Marianne",MS,2799,0
"Williamson, Marianne",MT,0,662
"Williamson, Marianne",MT,10,70
"Williamson, Marianne",MT,20,412
"Williamson, Marianne",MT,50,65
"Williamson, Marianne",MT,100,5
"Williamson, Marianne",MT,200,7
"Williamson, Marianne",MT,500,2
"Williamson, Marianne",MT,1000,1
"Williamson, Marianne",MT,1500,0
"Williamson, Marianne",MT,2000,1
"Williamson, Marianne",MT,2799,0
"Williamson, Marianne",NC,0,5103
"Williamson, Marianne",NC,10,513
"Williamson, Marianne",NC,20,2388
"Williamson, Marianne",NC,50,433
"Williamson, Marianne",NC,100,32
"Williamson, Marianne",NC,200,47
"Williamson, Marianne",NC,500,12
"Williamson, Marianne",NC,1000,2
"Williamson, Marianne",NC,1500,0
"Williamson, Marianne",NC,2000,0
"Williamson, Marianne",NC,2799,3
"Williamson, Marianne",ND,0,133
"Williamson, Marianne",ND,10,7
"Williamson, Marianne",ND,20,61
"Williamson, Marianne",ND,50,8
"Williamson, Marianne",ND,100,2
"Williamson, Marianne",ND,200,2
"Williamson, Marianne",ND,500,0
"Williamson, Marianne",ND,1000,0
"Williamson, Marianne",ND,1500,0
"Williamson, Marianne",ND,2000,0
"Williamson, Marianne",ND,2799,0
"Williamson, Marianne",NE,0,402
"Williamson, Marianne",NE,10,49
"Williamson, Marianne",NE,20,284
"Williamson, Marianne",NE,50,65
"Williamson, Marianne",NE,100,5
"Williamson, Marianne",NE,200,7
"Williamson, Marianne",NE,500,0
"Williamson, Marianne",NE,1000,0
"Williamson, Marianne",NE,1500,0
"Williamson, Marianne",NE,2000,0
"Williamson, Marianne",NE,2799,0
"Williamson, Marianne",NH,0,1546
"Williamson, Marianne",NH,10,145
"Williamson, Marianne",NH,20,937
"Williamson, Marianne",NH,50,158
"Williamson, Marianne",NH,100,10
"Williamson, Marianne",NH,200,25
"Williamson, Marianne",NH,500,1
"Williamson, Marianne",NH,1000,0
"Williamson, Marianne",NH,1500,0
"Williamson, Marianne",NH,2000,0
"Williamson, Marianne",NH,2799,1
"Williamson, Marianne",NJ,0,4735
"Williamson, Marianne",NJ,10,441
"Williamson, Marianne",NJ,20,2005
"Williamson, Marianne",NJ,50,358
"Williamson, Marianne",NJ,100,45
"Williamson, Marianne",NJ,200,55
"Williamson, Marianne",NJ,500,12
"Williamson, Marianne",NJ,1000,0
"Williamson, Marianne",NJ,1500,1
"Williamson, Marianne",NJ,2000,0
"Williamson, Marianne",NJ,2799,6
"Williamson, Marianne",NM,0,2262
"Williamson, Marianne",NM,10,197
"Williamson, Marianne",NM,20,1074
"Williamson, Marianne",NM,50,168
"Williamson, Marianne",NM,100,13
"Williamson, Marianne",NM,200,13
"Williamson, Marianne",NM,500,3
"Williamson, Marianne",NM,1000,0
"Williamson, Marianne",NM,1500,1
"Williamson, Marianne",NM,2000,0
"Williamson, Marianne",NM,2799,0
"Williamson, Marianne",NV,0,2106
"Williamson, Marianne",NV,10,232
"Williamson, Marianne",NV,20,917
"Williamson, Marianne",NV,50,172
"Williamson, Marianne",NV,100,20
"Williamson, Marianne",NV,200,37
"Williamson, Marianne",NV,500,3
"Williamson, Marianne",NV,1000,0
"Williamson, Marianne",NV,1500,0
"Williamson, Marianne",NV,2000,2
"Williamson, Marianne",NV,2799,0
"Williamson, Marianne",NY,0,15249
"Williamson, Marianne",NY,10,1520
"Williamson, Marianne",NY,20,6849
"Williamson, Marianne",NY,50,1195
"Williamson, Marianne",NY,100,167
"Williamson, Marianne",NY,200,361
"Williamson, Marianne",NY,500,52
"Williamson, Marianne",NY,1000,2
"Williamson, Marianne",NY,1500,9
"Williamson, Marianne",NY,2000,1
"Williamson, Marianne",NY,2799,15
"Williamson, Marianne",OH,0,3289
"Williamson, Marianne",OH,10,264
"Williamson, Marianne",OH,20,1305
"Williamson, Marianne",OH,50,191
"Williamson, Marianne",OH,100,28
"Williamson, Marianne",OH,200,42
"Williamson, Marianne",OH,500,4
"Williamson, Marianne",OH,1000,2
"Williamson, Marianne",OH,1500,1
"Williamson, Marianne",OH,2000,0
"Williamson, Marianne",OH,2799,0
"Williamson, Marianne",OK,0,1094
